p1	p2	interaction
O14641	Q8WWI1	binding
Q8WWI1	O14641	binding
O14641	Q6DT37	reaction
Q6DT37	O14641	reaction
O14641	Q92765	activation
Q92765	O14641	activation
O14641	Q9NZ56	reaction
Q9NZ56	O14641	reaction
O14641	P32121	reaction
O60353	O14641	reaction
O14641	O75197	catalysis
O14641	Q9NPB6	reaction
O14641	O14905	binding
O14905	O14641	binding
O14641	Q9HCP0	catalysis
O14641	Q9Y6I3	catalysis
O14641	P17980	catalysis
O14641	Q8N474	catalysis
Q8IYU2	O14641	catalysis
O14641	Q6VVB1	binding
Q6VVB1	O14641	binding
O14641	P62333	catalysis
O14641	O95081	catalysis
O14641	Q9UBV4	catalysis
P56705	O14641	catalysis
O14641	Q13618	binding
O14641	O15492	binding
O15492	O14641	binding
O14641	Q5IJ48	inhibition
Q5IJ48	O14641	inhibition
O14641	P60763	binding
P60763	O14641	binding
O14641	P20339	reaction
P20339	O14641	reaction
O14641	O75832	catalysis
P49674	O14641	reaction
O14641	Q9Y2T4	binding
Q9Y2T4	O14641	binding
O14641	P62979	reaction
P62979	O14641	reaction
O14733	O14641	activation
O14641	Q96BN8	binding
Q96BN8	O14641	binding
O14641	P35813	binding
P35813	O14641	binding
O14641	P98155	reaction
O14641	Q9GZT5	reaction
O14641	O43900	binding
O43900	O14641	binding
O14641	O00144	activation
O00144	O14641	activation
O14641	Q9UP38	reaction
O14641	Q00610	binding
Q00610	O14641	binding
O14641	Q9Y4D1	reaction
Q9Y4D1	O14641	reaction
O14641	P63172	binding
P63172	O14641	binding
Q05823	O14641	catalysis
Q15811	O14641	catalysis
O14641	Q8TAA3	catalysis
P60953	O14641	reaction
O14641	P85037	binding
P85037	O14641	binding
O14641	Q96GF1	binding
Q96GF1	O14641	binding
O14641	P51148	reaction
P51148	O14641	reaction
O14641	Q13467	reaction
Q13467	O14641	reaction
O14641	Q9BY79	catalysis
P01130	O14641	reaction
O14641	P15153	reaction
P15153	O14641	reaction
O14641	P49798	binding
P49798	O14641	binding
O14641	O43566	binding
O43566	O14641	binding
P49407	O14641	catalysis
O14641	Q9BYG4	binding
Q9BYG4	O14641	binding
P46937	O14641	reaction
O14641	Q6FHJ7	reaction
O14641	Q9Y5Q5	activation
Q9Y5Q5	O14641	activation
Q8TAA9	O14641	reaction
O14641	P25789	catalysis
O14641	P25787	catalysis
O14641	P40337	ptmod
O14641	O00303	catalysis
O14641	A4D2P6	reaction
O14641	O15539	binding
O15539	O14641	binding
O14641	P61020	reaction
O14641	P53350	ptmod
O14641	P25788	catalysis
O14641	Q9Y5S2	reaction
Q9Y5S2	O14641	reaction
O14641	O15231	binding
O15231	O14641	binding
O14976	O14641	catalysis
P62745	O14641	reaction
Q09013	O14641	reaction
O14641	Q13145	activation
Q13145	O14641	activation
O14641	P51665	catalysis
Q9NYF0	O14641	reaction
O14641	Q13642	binding
Q13642	O14641	binding
O14641	P21291	binding
P21291	O14641	binding
O14641	P60900	catalysis
O14641	P05129	catalysis
O00744	O14641	catalysis
O14641	Q9UPQ0	binding
Q9UPQ0	O14641	binding
O14641	Q01974	catalysis
O14641	Q14192	binding
Q14192	O14641	binding
O14641	Q9Y283	binding
Q9Y283	O14641	binding
O14641	Q92530	catalysis
O14641	Q13308	inhibition
Q13308	O14641	inhibition
Q96T49	O14641	catalysis
P04628	O14641	reaction
O14641	P19784	catalysis
O14641	P48730	catalysis
O14641	P25786	catalysis
O14641	Q6DKJ4	binding
Q6DKJ4	O14641	binding
O14641	P50148	ptmod
P50148	O14641	ptmod
O14641	O94810	binding
O94810	O14641	binding
O14641	P30556	catalysis
O14641	O14818	catalysis
O14641	Q2M5E4	binding
Q2M5E4	O14641	binding
O14641	Q92997	reaction
Q92997	O14641	reaction
O14641	P78368	catalysis
O14641	Q99436	catalysis
O14641	Q9H1J5	catalysis
O14641	Q13643	binding
Q13643	O14641	binding
P25103	O14641	reaction
O14641	Q96MT3	reaction
Q96MT3	O14641	reaction
O14641	Q8NEV1	catalysis
O14641	P20618	catalysis
Q9Y2G4	O14641	reaction
O14641	P49796	binding
P49796	O14641	binding
O14641	P40306	catalysis
O14641	Q2TBC4	binding
Q2TBC4	O14641	binding
O14641	P78504	inhibition
P78504	O14641	inhibition
Q7Z6K4	O14641	catalysis
O14641	O43665	binding
O43665	O14641	binding
Q96I34	O14641	catalysis
Q14C86	O14641	reaction
O14641	O76054	binding
O76054	O14641	binding
O14641	O76081	binding
O76081	O14641	binding
O14950	O14641	catalysis
O14641	Q9NZC7	binding
Q9NZC7	O14641	binding
P01133	O14641	reaction
O14641	O14921	binding
O14921	O14641	binding
O14641	Q5SW24	expression
O14641	Q9UKG1	binding
Q9UKG1	O14641	binding
O14641	Q04721	inhibition
Q04721	O14641	inhibition
O14641	O95171	binding
O95171	O14641	binding
P56703	O14641	reaction
O14641	P49720	catalysis
O14641	P09471	activation
P09471	O14641	activation
O14641	Q5VVJ2	catalysis
O14641	Q08116	binding
Q08116	O14641	binding
P24844	O14641	catalysis
O14641	Q9UHD9	inhibition
O14641	O00571	ptmod
O14641	O14924	binding
O14924	O14641	binding
O14641	P49721	catalysis
O14641	Q9UM47	inhibition
Q9UM47	O14641	inhibition
O14641	P49802	binding
P49802	O14641	binding
O14641	Q9NZU5	binding
Q9NZU5	O14641	binding
O14641	P49758	binding
P49758	O14641	binding
O14641	Q01167	binding
Q01167	O14641	binding
O14641	Q9UGI8	binding
Q9UGI8	O14641	binding
O14641	P41220	binding
P41220	O14641	binding
Q9BZL4	O14641	catalysis
O14641	Q9Y219	inhibition
Q9Y219	O14641	inhibition
O14641	P68400	binding
P68400	O14641	binding
O14641	O00487	catalysis
O14641	P43686	catalysis
O14641	Q9NS28	binding
Q9NS28	O14641	binding
Q9H6T3	P62140	binding
P62140	Q9H6T3	binding
Q99973	Q9H6T3	catalysis
Q8WVC0	Q9H6T3	catalysis
Q9H6T3	Q9Y265	binding
Q9Y265	Q9H6T3	binding
Q9C0B0	Q9H6T3	reaction
Q9H6T3	Q9Y4R8	binding
Q9Y4R8	Q9H6T3	binding
Q9H6T3	Q12988	binding
Q12988	Q9H6T3	binding
Q9H6T3	Q9NWS0	binding
Q9NWS0	Q9H6T3	binding
Q9H6T3	Q15435	binding
Q15435	Q9H6T3	binding
Q9H6T3	Q9Y230	binding
Q9Y230	Q9H6T3	binding
Q9H6T3	P62136	binding
P62136	Q9H6T3	binding
Q9H6T3	P07900	binding
P07900	Q9H6T3	binding
O75563	P62993	binding
P62993	O75563	binding
O75563	Q13094	binding
Q13094	O75563	binding
O75563	P06241	binding
P06241	O75563	binding
O75563	P12931	binding
P12931	O75563	binding
O75563	P08631	binding
P08631	O75563	binding
Q9Y6M0	Q6YHK3	reaction
Q9Y6M0	Q6UXB3	reaction
Q9Y6M0	Q86UN2	reaction
Q9Y6M0	P25116	activation
P25116	Q9Y6M0	activation
O95498	Q9Y6M0	reaction
O43895	Q9Y6M0	reaction
Q9Y6M0	Q14982	reaction
Q9Y6M0	O95497	reaction
Q9Y6M0	O00254	activation
O00254	Q9Y6M0	activation
P08582	Q9Y6M0	reaction
Q13449	Q9Y6M0	reaction
Q7Z3B1	Q9Y6M0	reaction
Q9P121	Q9Y6M0	reaction
Q9Y6M0	Q86UN3	reaction
Q9Y6M0	Q96RI0	activation
Q96RI0	Q9Y6M0	activation
P31270	Q12778	binding
Q12778	P31270	binding
P31270	O00470	binding
O00470	P31270	binding
P31270	P51965	expression
P15172	P31270	expression
P31270	Q8IXJ9	binding
Q8IXJ9	P31270	binding
P31270	Q15910	binding
Q15910	P31270	binding
P78423	P49238	catalysis
P78423	P42224	binding
P42224	P78423	binding
P78423	Q04206	binding
Q04206	P78423	binding
P78423	P05412	binding
P05412	P78423	binding
P78423	P40763	binding
P40763	P78423	binding
O75865	Q86YS6	reaction
O75865	Q96IW7	binding
Q96IW7	O75865	binding
O75865	Q9H082	reaction
O75865	Q15436	catalysis
O95406	O75865	catalysis
O43617	O75865	reaction
O75865	P0DI82	catalysis
Q9BRL7	O75865	reaction
O75865	Q9Y2L5	binding
Q9Y2L5	O75865	binding
O75865	Q8TBE1	reaction
O75865	O75396	catalysis
O75865	Q6PI25	binding
Q6PI25	O75865	binding
O75865	Q3YEC7	reaction
Q3YEC7	O75865	reaction
O75865	Q8IUR0	binding
Q8IUR0	O75865	binding
O75865	Q9Y296	reaction
Q9Y296	O75865	reaction
O75865	Q9H0U4	reaction
Q9H0U4	O75865	reaction
O75865	O15498	binding
O15498	O75865	binding
O75865	Q9UL33	reaction
Q9UL33	O75865	reaction
O75865	Q5T215	catalysis
O75865	A4D1S5	catalysis
P26374	O75865	catalysis
O75865	Q96Q05	catalysis
O75865	Q9Y5R8	catalysis
O75865	Q14088	catalysis
O75865	Q15437	reaction
Q15437	O75865	reaction
O75865	Q86SZ2	reaction
P24386	O75865	catalysis
P48553	O75865	reaction
O75865	Q96QF0	binding
Q96QF0	O75865	binding
O75865	Q8WVT3	binding
Q8WVT3	O75865	binding
P62820	O75865	reaction
P31150	O75865	catalysis
P50395	O75865	catalysis
Q6NTF9	Q9BW83	binding
Q9BW83	Q6NTF9	binding
Q9P0L0	Q9BZF2	activation
Q9UJG1	Q9BZF2	activation
O95292	Q9BZF2	activation
O75425	Q9BZF2	activation
Q9Y2T7	Q8IXY8	catalysis
Q9Y2T7	Q92841	binding
Q92841	Q9Y2T7	binding
P62937	Q9Y2T7	catalysis
Q9Y2T7	O60828	binding
O60828	Q9Y2T7	binding
Q9BUQ8	Q9Y2T7	catalysis
Q9Y2T7	Q8NHQ9	binding
Q8NHQ9	Q9Y2T7	binding
Q9Y2T7	Q9Y536	reaction
Q9Y536	Q9Y2T7	reaction
Q9Y2T7	A0A0B4J2A2	reaction
Q9Y2T7	P17844	reaction
P17844	Q9Y2T7	reaction
Q9Y2T7	Q6UX04	reaction
Q9Y2T7	Q5T1V6	binding
Q5T1V6	Q9Y2T7	binding
P0DN37	Q9Y2T7	catalysis
Q9Y2T7	F5H284	binding
F5H284	Q9Y2T7	binding
Q13427	Q9Y2T7	catalysis
Q9Y2T7	P30405	reaction
Q9Y2T7	P0DN26	reaction
Q9Y2T7	Q9BQ39	reaction
P62312	Q9Y2T7	reaction
Q8WUA2	Q9Y2T7	catalysis
Q9Y2T7	P30414	reaction
Q86SP6	Q9Y2T7	catalysis
Q9Y2T7	Q9Y3C6	reaction
Q9Y3C6	Q9Y2T7	reaction
Q9Y6V7	Q9Y2T7	catalysis
Q9H2H8	Q9Y2T7	reaction
Q9Y2T7	Q587J7	binding
Q587J7	Q9Y2T7	binding
Q9Y2T7	Q9NR30	catalysis
Q9Y2T7	Q13573	reaction
Q9Y2T7	Q86XP3	binding
Q86XP3	Q9Y2T7	binding
O43447	Q9Y2T7	reaction
Q9Y2T7	Q9UNP9	catalysis
Q08752	Q9Y2T7	catalysis
Q9Y2T7	P0DN26	reaction
Q9Y2T7	Q7L014	reaction
P26006	P53708	binding
P53708	P26006	binding
P26006	Q9UPZ3	binding
Q9UPZ3	P26006	binding
P26010	P26006	reaction
P18564	P26006	reaction
P26006	P24821	binding
P24821	P26006	binding
P08648	P26006	reaction
P26006	Q92752	binding
Q92752	P26006	binding
P05107	P26006	reaction
P26006	Q9Y2I2	binding
Q9Y2I2	P26006	binding
P26006	P07996	activation
P07996	P26006	activation
P05106	P26006	reaction
P26006	Q9Y5W5	activation
Q9Y5W5	P26006	activation
P26006	P06756	binding
P06756	P26006	binding
P08581	P26006	activation
P26006	Q9Y6N6	binding
Q9Y6N6	P26006	binding
P26006	P49023	binding
P49023	P26006	binding
P26006	O15335	activation
O15335	P26006	activation
P26006	Q9UQP3	activation
Q9UQP3	P26006	activation
P26006	Q6UXI9	binding
Q6UXI9	P26006	binding
P26006	O43707	binding
O43707	P26006	binding
P05556	P26006	binding
P26006	Q13753	reaction
Q13753	P26006	reaction
P26006	P49746	binding
P49746	P26006	binding
P26006	P12931	activation
P12931	P26006	activation
P26006	O75369	binding
O75369	P26006	binding
P26006	P11047	binding
P11047	P26006	binding
P26006	Q08043	binding
Q08043	P26006	binding
P26006	P26012	binding
P26012	P26006	binding
P26006	P12814	binding
P12814	P26006	binding
Q16363	P26006	binding
P26006	P21333	binding
P21333	P26006	binding
P26006	Q9Y4G6	binding
Q9Y4G6	P26006	binding
P26006	P05362	binding
P05362	P26006	binding
P26006	P35443	activation
P35443	P26006	activation
P26006	P35442	binding
P35442	P26006	binding
P26006	P07948	binding
P07948	P26006	binding
P26006	Q9Y490	binding
Q9Y490	P26006	binding
P26006	P16144	reaction
P26006	P13598	binding
P13598	P26006	binding
P26006	P18084	binding
P18084	P26006	binding
P26006	Q8N3D4	binding
Q8N3D4	P26006	binding
P26006	P49747	activation
P49747	P26006	activation
P26006	P35609	binding
P35609	P26006	binding
P26006	P32942	activation
P32942	P26006	activation
P26006	P78536	reaction
P26006	P01137	binding
P01137	P26006	binding
P26006	Q7RTV3	expression
P26006	Q8NDI1	binding
Q8NDI1	P26006	binding
O76009	P62993	binding
P62993	O76009	binding
O76009	P12035	binding
P12035	O76009	binding
O76009	P48668	binding
P48668	O76009	binding
O76009	P08729	binding
P08729	O76009	binding
O76009	Q01546	binding
Q01546	O76009	binding
O76009	Q5XKE5	binding
Q5XKE5	O76009	binding
O76009	P02538	binding
P02538	O76009	binding
O76009	P05787	binding
P05787	O76009	binding
O76009	P13647	binding
P13647	O76009	binding
O76009	P42566	binding
P42566	O76009	binding
O76009	P04259	binding
P04259	O76009	binding
O76009	P19013	binding
P19013	O76009	binding
Q7Z6R9	Q68DU8	binding
Q68DU8	Q7Z6R9	binding
Q7Z6R9	Q17RG1	binding
Q17RG1	Q7Z6R9	binding
Q7Z6R9	Q96SI1	binding
Q96SI1	Q7Z6R9	binding
Q7Z6R9	Q96CX2	binding
Q96CX2	Q7Z6R9	binding
Q7Z6R9	Q719H9	binding
Q719H9	Q7Z6R9	binding
Q7Z6R9	Q6PI47	binding
Q6PI47	Q7Z6R9	binding
Q7Z6R9	Q6ZWB6	binding
Q6ZWB6	Q7Z6R9	binding
Q7Z6R9	Q99967	binding
Q99967	Q7Z6R9	binding
Q7Z6R9	Q4G0X4	binding
Q4G0X4	Q7Z6R9	binding
Q7Z6R9	Q8WVF5	binding
Q8WVF5	Q7Z6R9	binding
Q7Z6R9	Q693B1	binding
Q693B1	Q7Z6R9	binding
Q7Z6R9	Q96MP8	binding
Q96MP8	Q7Z6R9	binding
Q7Z6R9	Q8N5I3	binding
Q8N5I3	Q7Z6R9	binding
Q7Z6R9	Q9BQ13	binding
Q9BQ13	Q7Z6R9	binding
Q7Z6R9	Q8NC69	binding
Q8NC69	Q7Z6R9	binding
Q16526	P48730	reaction
Q16526	Q99743	activation
Q16526	P49674	reaction
Q16526	P56645	reaction
P56645	Q16526	reaction
Q16526	O15055	binding
Q16526	P19525	inhibition
P19525	Q16526	inhibition
Q16526	Q9Y4K3	inhibition
Q9Y4K3	Q16526	inhibition
Q16526	Q49AN0	binding
Q49AN0	Q16526	binding
Q16526	Q2KHN1	inhibition
Q2KHN1	Q16526	inhibition
Q16526	Q9UKT7	reaction
Q16526	Q9UPQ7	inhibition
Q9UPQ7	Q16526	inhibition
Q16526	P0CG47	reaction
P0CG47	Q16526	reaction
Q16526	Q9HCP0	binding
Q9HCP0	Q16526	binding
Q16526	P27540	inhibition
P27540	Q16526	inhibition
Q16526	P62136	inhibition
Q16526	P62979	reaction
P62979	Q16526	reaction
Q16526	O15534	catalysis
Q16526	Q9Y6Q9	inhibition
Q9Y6Q9	Q16526	inhibition
Q9UNS1	Q16526	reaction
Q16526	Q8N752	binding
Q8N752	Q16526	binding
Q16526	Q8NEE6	inhibition
Q8NEE6	Q16526	inhibition
Q16526	Q13114	inhibition
Q13114	Q16526	inhibition
O15516	Q16526	catalysis
Q16526	Q13077	inhibition
Q13077	Q16526	inhibition
Q16526	O00463	inhibition
O00463	Q16526	inhibition
Q16526	O14744	binding
O14744	Q16526	binding
Q16526	P62140	inhibition
Q16526	Q5TCY1	binding
Q5TCY1	Q16526	binding
Q16526	Q6Q0C0	inhibition
Q6Q0C0	Q16526	inhibition
Q16526	P48729	binding
P48729	Q16526	binding
Q16526	Q12933	inhibition
Q12933	Q16526	inhibition
Q16526	Q9Y6M4	binding
Q9Y6M4	Q16526	binding
Q16526	P49840	catalysis
Q16526	P36873	inhibition
Q16526	Q9H4P4	inhibition
Q9H4P4	Q16526	inhibition
Q16526	Q6IQ55	binding
Q6IQ55	Q16526	binding
Q16526	P30154	catalysis
Q16526	Q6ZMN7	inhibition
Q6ZMN7	Q16526	inhibition
Q16526	P49841	catalysis
Q16526	Q86Y07	binding
Q86Y07	Q16526	binding
Q16526	Q9H469	ptmod
Q9H469	Q16526	ptmod
Q16526	Q8TF05	catalysis
Q16526	Q15788	inhibition
Q15788	Q16526	inhibition
Q16526	P78368	binding
P78368	Q16526	binding
Q16526	Q8IV63	binding
Q8IV63	Q16526	binding
Q16526	Q99986	binding
Q99986	Q16526	binding
Q16526	Q9P260	catalysis
Q16526	P30153	catalysis
Q16526	P62714	catalysis
Q16526	P67775	catalysis
Q16526	Q6NUP7	catalysis
Q16526	Q9BUZ4	inhibition
Q9BUZ4	Q16526	inhibition
Q16526	Q9HBZ2	inhibition
Q9HBZ2	Q16526	inhibition
Q16526	Q15596	inhibition
Q15596	Q16526	inhibition
Q16526	Q9NZJ5	inhibition
Q9NZJ5	Q16526	inhibition
Q16526	Q8TBB1	inhibition
Q8TBB1	Q16526	inhibition
O75594	Q96PD5	binding
Q96PD5	O75594	binding
O75594	P42685	reaction
O75594	Q9NZL4	binding
Q9NZL4	O75594	binding
Q00653	O75594	reaction
P19838	O75594	reaction
O95772	P27105	binding
P27105	O95772	binding
Q96NX5	P18848	ptmod
P18848	Q96NX5	ptmod
Q96NX5	P0DP24	binding
P0DP24	Q96NX5	binding
P0DP24	Q96NX5	reaction
Q96NX5	P14649	activation
P14649	Q96NX5	activation
Q96NX5	P18846	ptmod
P18846	Q96NX5	ptmod
Q96NX5	Q9NZT1	activation
Q9NZT1	Q96NX5	activation
Q96NX5	P16220	activation
P16220	Q96NX5	activation
Q96NX5	Q8TEY5	ptmod
Q8TEY5	Q96NX5	ptmod
Q96NX5	Q96BA8	ptmod
Q96BA8	Q96NX5	ptmod
Q96NX5	Q8N5S9	activation
Q8N5S9	Q96NX5	activation
Q96NX5	Q68CJ9	activation
Q68CJ9	Q96NX5	activation
Q96NX5	P0DP24	binding
P0DP24	Q96NX5	binding
Q96NX5	Q8TD86	activation
Q8TD86	Q96NX5	activation
Q96NX5	P12829	ptmod
P12829	Q96NX5	ptmod
Q00613	Q96NX5	catalysis
Q96NX5	Q03060	ptmod
Q03060	Q96NX5	ptmod
Q96NX5	P05976	ptmod
P05976	Q96NX5	ptmod
Q96NX5	P27482	activation
P27482	Q96NX5	activation
Q96NX5	P08590	activation
P08590	Q96NX5	activation
Q96NX5	Q96RR4	activation
Q96RR4	Q96NX5	activation
Q96NX5	P60660	ptmod
P60660	Q96NX5	ptmod
Q96NX5	O43889	activation
O43889	Q96NX5	activation
Q03933	Q96NX5	catalysis
Q96NX5	Q96GE6	activation
Q96GE6	Q96NX5	activation
Q8IXI1	Q96NX5	catalysis
Q96NX5	Q70SY1	ptmod
Q70SY1	Q96NX5	ptmod
Q8IXI2	Q96NX5	catalysis
P01911	P04233	reaction
P04233	P28068	reaction
P04233	P05538	binding
P05538	P04233	binding
P04233	P14174	binding
P14174	P04233	binding
P04233	P61073	binding
P61073	P04233	binding
P04233	P09668	catalysis
P01909	P04233	reaction
P04233	P43235	activation
P43235	P04233	activation
P04233	Q30154	binding
Q30154	P04233	binding
P04233	P01906	reaction
P04233	P25774	activation
P25774	P04233	activation
P04233	Q16363	binding
Q16363	P04233	binding
P04233	Q9Y2I2	binding
Q9Y2I2	P04233	binding
P20036	P04233	reaction
P04233	P07711	activation
P07711	P04233	activation
P04233	Q13753	binding
Q13753	P04233	binding
P04233	O60911	activation
O60911	P04233	activation
P04233	P01920	reaction
P04233	P06340	reaction
P84077	P04233	reaction
P01903	P04233	reaction
P04233	P08581	binding
P08581	P04233	binding
P04233	P07858	catalysis
P04233	P16070	binding
P16070	P04233	binding
P04233	P56202	catalysis
P04233	P11047	binding
P11047	P04233	binding
P04233	P43234	catalysis
P04233	Q9Y6N6	binding
Q9Y6N6	P04233	binding
P04233	Q9UBR2	activation
Q9UBR2	P04233	activation
P04233	P04440	binding
P04440	P04233	binding
P04233	Q9UBX1	catalysis
P04233	P53634	catalysis
P04233	Q7Z3E2	binding
Q7Z3E2	P04233	binding
Q96S59	P56817	binding
P56817	Q96S59	binding
Q96S59	Q96G75	binding
Q96G75	Q96S59	binding
Q96S59	Q6VN20	binding
Q6VN20	Q96S59	binding
Q96S59	P10275	binding
P10275	Q96S59	binding
Q96S59	Q8IVV7	binding
Q8IVV7	Q96S59	binding
Q07889	Q96S59	binding
Q96S59	P08581	inhibition
P04049	Q96S59	expression
Q96S59	P05937	binding
P05937	Q96S59	binding
Q96S59	Q9NQI0	binding
Q9NQI0	Q96S59	binding
Q96S59	Q7L5Y9	binding
Q7L5Y9	Q96S59	binding
Q96S59	Q9H7D7	binding
Q9H7D7	Q96S59	binding
Q96S59	Q14416	binding
Q14416	Q96S59	binding
Q96S59	Q9H871	binding
Q9H871	Q96S59	binding
Q96S59	P32004	binding
P32004	Q96S59	binding
Q96S59	O15169	binding
O15169	Q96S59	binding
Q96S59	P36897	binding
P36897	Q96S59	binding
Q96S59	Q9UL63	binding
Q9UL63	Q96S59	binding
Q96S59	Q8IUR7	binding
Q8IUR7	Q96S59	binding
Q96S59	P49961	binding
P49961	Q96S59	binding
Q96S59	Q9NWU2	binding
Q9NWU2	Q96S59	binding
Q96S59	P30530	binding
P30530	Q96S59	binding
Q96S59	P04629	binding
P04629	Q96S59	binding
P01730	P01911	activation
P01911	P01730	activation
P42566	P01730	reaction
P01730	P43403	catalysis
P01730	P11142	reaction
P11142	P01730	reaction
P01730	P01732	binding
P01732	P01730	binding
Q08881	P01730	catalysis
P01730	Q15836	catalysis
P01730	P23458	binding
P23458	P01730	binding
P01730	P06241	binding
P07550	P01730	reaction
P01730	P06239	binding
P02786	P01730	reaction
P01730	P51451	binding
P51451	P01730	binding
P01730	P12931	binding
P12931	P01730	binding
P01730	P01920	binding
P01920	P01730	binding
P01730	P01903	binding
P01903	P01730	binding
P01730	O60674	binding
O60674	P01730	binding
P01730	P41240	binding
P41240	P01730	binding
P01730	P43405	catalysis
P01730	P01906	reaction
P01906	P01730	reaction
P01730	P09769	binding
P09769	P01730	binding
P01730	O14964	reaction
P01730	Q9NWQ8	catalysis
P01730	Q13882	binding
Q13882	P01730	binding
P01730	Q14005	binding
Q14005	P01730	binding
P01730	P07947	binding
P07947	P01730	binding
P01730	P10747	catalysis
P01730	P20036	activation
P20036	P01730	activation
P01730	P42685	binding
P42685	P01730	binding
P01730	P42680	binding
P42680	P01730	binding
P01730	P07948	binding
P07948	P01730	binding
P01730	P42681	binding
P42681	P01730	binding
P01730	P61073	binding
P61073	P01730	binding
P01730	Q05823	binding
Q05823	P01730	binding
P01730	P08631	binding
P08631	P01730	binding
P30556	P01730	catalysis
P01730	P42679	catalysis
P01730	Q06187	binding
Q06187	P01730	binding
P01730	P08575	inhibition
P01730	P52333	binding
P52333	P01730	binding
P01730	P29597	binding
P29597	P01730	binding
O43561	P01730	catalysis
P01730	P04899	inhibition
P01730	Q9H3Y6	binding
Q9H3Y6	P01730	binding
P01730	P51813	binding
P51813	P01730	binding
O75954	O14672	reaction
Q9NXS2	P09110	reaction
Q15185	P53041	reaction
P55040	P53041	catalysis
P61225	P53041	catalysis
Q92963	P53041	catalysis
P53041	Q8IY45	binding
Q8IY45	P53041	binding
P53041	Q96SF2	binding
Q96SF2	P53041	binding
Q14008	P53041	activation
P53041	Q9Y2K7	binding
Q9Y2K7	P53041	binding
P53041	E9PB15	binding
E9PB15	P53041	binding
P53041	Q1L5Z9	binding
Q1L5Z9	P53041	binding
P53041	Q99683	inhibition
Q99683	P53041	inhibition
P53041	P07900	binding
P53041	Q9BVC4	binding
Q9BVC4	P53041	binding
P53041	O14777	reaction
P61224	P53041	catalysis
Q13427	P53041	catalysis
P10301	P53041	catalysis
P03372	P53041	catalysis
P63165	P53041	catalysis
P53041	O15264	catalysis
P53041	P78318	ptmod
P78318	P53041	ptmod
P53041	Q9Y6X6	binding
Q9Y6X6	P53041	binding
P61981	P53041	catalysis
Q8N3C7	P53041	activation
P53041	P27361	catalysis
P53041	P50990	binding
P50990	P53041	binding
P53041	Q9BTE6	reaction
Q9BTE6	P53041	reaction
P53041	Q9UKT7	binding
Q9UKT7	P53041	binding
O96028	P53041	catalysis
Q92731	P53041	catalysis
P53041	Q05586	inhibition
Q05586	P53041	inhibition
P53041	Q969K4	binding
Q969K4	P53041	binding
P53041	Q16539	catalysis
P55042	P53041	catalysis
P53041	Q8IXY8	reaction
Q14676	P53041	catalysis
P53041	Q08752	reaction
P53041	Q9UHD1	binding
Q9UHD1	P53041	binding
P53041	Q16659	catalysis
Q9Y3L5	P53041	catalysis
Q96D21	P53041	catalysis
P53041	Q13043	inhibition
Q13043	P53041	inhibition
Q8IYK8	P53041	catalysis
P53041	O95644	activation
O95644	P53041	activation
P53041	Q10570	binding
Q10570	P53041	binding
P62070	P53041	catalysis
P53041	Q8IYU2	activation
Q8IYU2	P53041	activation
P53041	O75344	catalysis
P53041	Q9UKP3	binding
Q9UKP3	P53041	binding
P08238	P53041	reaction
O75628	P53041	catalysis
P30414	P53041	reaction
P53041	Q13164	catalysis
P53041	P31152	catalysis
P53041	Q15759	catalysis
P53041	Q9UKA2	binding
Q9UKA2	P53041	binding
P53041	Q5S007	binding
Q5S007	P53041	binding
P53041	Q14318	reaction
P10114	P53041	catalysis
P53041	Q9Y2Z0	binding
Q9Y2Z0	P53041	binding
P53041	Q9H1A4	activation
Q9H1A4	P53041	activation
O95661	P53041	catalysis
P53041	Q8N531	binding
Q8N531	P53041	binding
Q8N2W9	P53041	catalysis
P53041	P28070	catalysis
P15056	P53041	catalysis
Q15382	P53041	catalysis
P04049	P53041	catalysis
P53041	Q9HB75	binding
Q9HB75	P53041	binding
P61088	P53041	catalysis
P53041	O95816	binding
O95816	P53041	binding
Q13451	P53041	reaction
P53041	P04150	binding
P53041	Q9UF56	binding
Q9UF56	P53041	binding
P53041	P28482	catalysis
P53041	Q8N1E6	binding
Q8N1E6	P53041	binding
P53041	P78371	binding
P78371	P53041	binding
